sale_date,whidx,skuidx,qty
01-01-2019,65265,3269615,3
01-01-2019,69100,3269615,1
01-01-2019,70360,3269615,1
02-01-2019,65245,3269615,1
02-01-2019,65261,3269615,1
02-01-2019,70401,3269615,2
03-01-2019,39633,3338776,1
03-01-2019,65245,3269615,1
03-01-2019,65261,3269615,1
03-01-2019,65265,3269615,2
03-01-2019,68500,3269615,1
03-01-2019,83539,3269615,2
04-01-2019,65261,3269615,1
05-01-2019,32102,3338776,2
05-01-2019,65261,3269615,1
05-01-2019,65265,3269615,2
05-01-2019,70360,3269615,2
05-01-2019,70401,3269615,1
06-01-2019,32102,3338776,2
06-01-2019,65261,3269615,2
06-01-2019,65265,3269615,1
06-01-2019,69100,3269615,1
06-01-2019,70401,3269615,3
06-01-2019,83539,3269615,1
07-01-2019,70401,3269615,2
07-01-2019,83539,3269615,3
08-01-2019,32102,3338776,1
08-01-2019,34082,3338776,2
08-01-2019,69100,3269615,2
08-01-2019,83539,3269615,1
09-01-2019,34082,3338776,1
09-01-2019,39633,3338776,1
09-01-2019,65261,3269615,3
09-01-2019,69100,3269615,2
09-01-2019,70401,3269615,1
10-01-2019,65245,3269615,1
10-01-2019,65261,3269615,2
10-01-2019,65265,3269615,2
10-01-2019,69100,3269615,1
10-01-2019,70360,3269615,1
10-01-2019,70401,3269615,3
10-01-2019,83539,3269615,2
11-01-2019,32102,3338776,6
11-01-2019,34082,3338776,1
11-01-2019,65261,3269615,3
11-01-2019,68500,3269615,1
11-01-2019,69100,3269615,1
11-01-2019,70360,3269615,1
11-01-2019,83539,3269615,1
12-01-2019,32102,3338776,1
12-01-2019,39633,3338776,1
12-01-2019,65261,3269615,1
12-01-2019,65265,3269615,3
12-01-2019,68500,3269615,2
12-01-2019,69100,3269615,2
12-01-2019,70360,3269615,3
12-01-2019,70401,3269615,1
12-01-2019,83539,3269615,2
13-01-2019,65245,3269615,2
13-01-2019,65265,3269615,3
13-01-2019,70360,3269615,1
13-01-2019,70401,3269615,2
14-01-2019,65245,3269615,2
14-01-2019,65261,3269615,2
14-01-2019,65265,3269615,2
14-01-2019,68500,3269615,2
14-01-2019,70360,3269615,1
15-01-2019,28902,3338776,1
15-01-2019,34082,3338776,1
15-01-2019,65245,3269615,1
16-01-2019,28902,3338776,1
16-01-2019,65261,3269615,3
16-01-2019,70360,3269615,1
16-01-2019,83539,3269615,1
17-01-2019,68500,3269615,3
17-01-2019,70360,3269615,2
17-01-2019,83539,3269615,2
18-01-2019,60181,3338776,2
18-01-2019,65245,3269615,2
18-01-2019,69100,3269615,1
19-01-2019,65261,3269615,1
19-01-2019,65265,3269615,1
19-01-2019,69100,3269615,2
19-01-2019,70360,3269615,1
19-01-2019,83539,3269615,2
20-01-2019,65265,3269615,2
21-01-2019,65245,3269615,1
21-01-2019,65265,3269615,1
21-01-2019,68500,3269615,2
21-01-2019,70401,3269615,1
22-01-2019,69100,3269615,1
23-01-2019,68500,3269615,1
23-01-2019,69100,3269615,1
23-01-2019,70401,3269615,1
23-01-2019,83539,3269615,1
24-01-2019,65261,3269615,1
24-01-2019,83539,3269615,3
25-01-2019,65245,3269615,1
25-01-2019,65261,3269615,1
25-01-2019,70401,3269615,2
26-01-2019,65245,3269615,1
26-01-2019,68500,3269615,1
26-01-2019,69100,3269615,2
27-01-2019,65261,3269615,1
27-01-2019,69100,3269615,1
27-01-2019,70360,3269615,3
27-01-2019,70401,3269615,2
28-01-2019,65261,3269615,1
28-01-2019,65265,3269615,1
28-01-2019,70401,3269615,3
29-01-2019,65245,3269615,1
29-01-2019,70360,3269615,2
30-01-2019,65261,3269615,2
30-01-2019,65265,3269615,2
30-01-2019,70360,3269615,3
30-01-2019,70401,3269615,1
