whid,skuid,date,qty
WH_1,35,28-12-2020,1
WH_1,35,27-12-2020,1
WH_1,35,26-12-2020,1
WH_1,35,25-12-2020,1
WH_1,35,23-12-2020,1
WH_1,35,20-12-2020,1
WH_1,35,19-12-2020,1
WH_1,35,14-12-2020,1
WH_1,35,13-12-2020,3
WH_1,35,12-12-2020,2
WH_1,35,11-12-2020,1
WH_1,35,10-12-2020,1
WH_1,35,09-12-2020,1
WH_1,35,08-12-2020,1
WH_1,35,06-12-2020,1
WH_1,35,05-12-2020,1
WH_1,35,30-11-2020,1
WH_1,35,29-11-2020,1
WH_1,35,24-11-2020,2
WH_1,35,20-11-2020,1
WH_1,35,14-11-2020,1
WH_1,35,09-11-2020,1
WH_1,35,07-11-2020,1
WH_1,35,04-11-2020,2
WH_1,35,03-11-2020,2
WH_1,35,01-11-2020,1
WH_1,35,31-10-2020,2
WH_1,35,30-10-2020,1
WH_1,35,25-10-2020,4
WH_1,35,24-10-2020,2
WH_1,35,23-10-2020,2
WH_1,35,21-10-2020,2
WH_1,35,17-10-2020,1
WH_1,35,16-10-2020,1
WH_1,35,15-10-2020,2
WH_1,35,14-10-2020,1
WH_1,35,13-10-2020,1
WH_1,35,12-10-2020,2
WH_1,35,11-10-2020,1
WH_1,35,10-10-2020,2
WH_1,35,08-10-2020,1
WH_1,35,07-10-2020,6
WH_1,35,06-10-2020,1
WH_1,35,04-10-2020,4
WH_1,35,03-10-2020,2
WH_1,35,01-10-2020,2
WH_1,35,30-09-2020,2
WH_1,35,29-09-2020,2
WH_1,35,27-09-2020,1
WH_1,35,26-09-2020,4
WH_1,35,24-09-2020,2
WH_1,35,22-09-2020,4
WH_1,35,20-09-2020,1
WH_1,35,14-09-2020,1
WH_1,35,12-09-2020,1
WH_1,35,06-09-2020,1
WH_1,35,05-09-2020,1
WH_1,35,04-09-2020,1
WH_1,35,03-09-2020,1
WH_1,35,02-09-2020,1
WH_1,35,31-08-2020,1
WH_1,35,30-08-2020,1
WH_1,35,28-08-2020,1
WH_1,35,27-08-2020,1
WH_1,35,24-08-2020,1
WH_1,35,22-08-2020,2
WH_1,35,21-08-2020,1
WH_1,35,18-08-2020,2
WH_1,35,15-08-2020,1
WH_1,35,13-08-2020,1
WH_1,35,12-08-2020,3
WH_1,35,10-08-2020,1
WH_1,35,08-08-2020,1
WH_1,35,06-08-2020,1
WH_1,35,05-08-2020,1
WH_1,35,04-08-2020,1
WH_1,35,02-08-2020,1
WH_1,35,01-08-2020,1
WH_1,35,30-07-2020,1
