month_start_date,whidx,skuidx,qty
2019-07-01,70401,3269615,5
2019-08-01,70401,3269615,16
2019-09-01,70401,3269615,16
2019-10-01,70401,3269615,12
2019-11-01,65227,3269615,2
2019-11-01,70401,3269615,17
2019-12-01,65227,3269615,3
2019-12-01,70401,3269615,86
2020-01-01,65227,3269615,10
2020-01-01,70401,3269615,52
2020-02-01,70401,3269615,0
2020-05-01,65227,3269615,-2
2020-06-01,2517,3481965,43
2020-06-01,4643,3481968,30
2020-06-01,37163,3068340,1
2020-06-01,37163,3481965,40
2020-06-01,60182,3068340,10
2020-06-01,65245,3269615,201
2020-06-01,68500,3269615,146
2020-06-01,70401,3269615,4
2020-06-01,75184,3481968,132
2020-07-01,2517,3481965,51
2020-07-01,4643,3481968,139
2020-07-01,7997,3481965,42
2020-07-01,34122,3481968,38
2020-07-01,37163,3068340,34
2020-07-01,37163,3481965,45
2020-07-01,52420,3481965,2
2020-07-01,60182,3068340,70
2020-07-01,65227,3269615,9
2020-07-01,65941,3481965,115
2020-07-01,70401,3269615,2
2020-07-01,75184,3481968,12
2020-07-01,82290,3068340,4
2020-08-01,2517,3481965,27
2020-08-01,7997,3481965,3
2020-08-01,34122,3481968,13
2020-08-01,37163,3068340,14
2020-08-01,37163,3481968,13
2020-08-01,65227,3269615,3
2020-08-01,70401,3269615,22
2020-08-01,82290,3068340,15
2020-09-01,7997,3481965,37
2020-09-01,34122,3068340,70
2020-09-01,34122,3481968,49
2020-09-01,37163,3068340,37
2020-09-01,37163,3481968,137
2020-09-01,65227,3269615,38
2020-09-01,70401,3269615,14
2020-09-01,81490,3481968,82
2020-09-01,82290,3068340,40
2020-09-01,82290,3481968,40
2020-10-01,34122,3481965,23
2020-10-01,34122,3481968,73
2020-10-01,52420,3481965,86
2020-10-01,65227,3269615,31
2020-10-01,82290,3481968,5
2020-11-01,5156,3124328,10
2020-11-01,34122,3481965,121
2020-11-01,34122,3481968,43
2020-11-01,37163,3481968,77
2020-11-01,52420,3481965,8
2020-11-01,65227,3269615,13
2020-11-01,65244,3158808,492
2020-11-01,65245,3158784,1795
2020-11-01,65245,3205747,65
2020-11-01,69100,3158784,2183
2020-11-01,69100,3205720,267
2020-11-01,70360,3269615,53
2020-11-01,75187,3205720,480
2020-11-01,75187,3205747,36
2020-11-01,80704,3269615,24
2020-11-01,82290,3481968,117
2020-12-01,2518,3481968,79
2020-12-01,5156,3124328,78
2020-12-01,13607,3124317,82
2020-12-01,13607,3205747,302
2020-12-01,13607,3205752,325
2020-12-01,15942,3124317,92
2020-12-01,16742,3124317,92
2020-12-01,16742,3163649,1330
2020-12-01,52720,3124317,87
2020-12-01,65227,3269615,17
2020-12-01,65240,3124501,88
2020-12-01,65241,3158784,2050
2020-12-01,65243,3269615,132
2020-12-01,65244,3158784,909
2020-12-01,65244,3158808,10
2020-12-01,65245,3124501,121
2020-12-01,65245,3158784,664
2020-12-01,65245,3164779,399
2020-12-01,65245,3205720,1026
2020-12-01,65245,3205747,134
2020-12-01,65247,3159035,11709
2020-12-01,65247,3205752,249
2020-12-01,65249,3124317,78
2020-12-01,65249,3158784,819
2020-12-01,68500,3269615,55
2020-12-01,69100,3158784,327
2020-12-01,69100,3205720,603
2020-12-01,70360,3269615,142
2020-12-01,75184,3481968,20
2020-12-01,75187,3124317,54
2020-12-01,75187,3205720,510
2020-12-01,75187,3205747,190
2020-12-01,80704,3269615,163
2020-12-01,81490,3481968,122
2020-12-01,82290,3068340,5
