,WHIDX,SKUIDX,SALE_DATE,TOTAL_QTY
0,69100,3269615,2019-01-01,1
1,69100,3269615,2019-01-06,1
2,69100,3269615,2019-01-10,1
3,69100,3269615,2019-01-11,1
4,69100,3269615,2019-01-18,1
5,69100,3269615,2019-01-22,1
6,69100,3269615,2019-01-23,1
7,69100,3269615,2019-01-27,1
8,69100,3269615,2019-02-04,1
9,69100,3269615,2019-02-19,1
10,69100,3269615,2019-02-20,1
11,69100,3269615,2019-02-23,1
12,69100,3269615,2019-03-03,1
13,69100,3269615,2019-03-09,1
14,69100,3269615,2019-03-14,1
15,69100,3269615,2019-03-30,1
16,69100,3269615,2019-04-04,1
17,69100,3269615,2019-04-10,1
18,69100,3269615,2019-04-12,1
19,69100,3269615,2019-04-21,1
20,69100,3269615,2019-04-26,1
21,69100,3269615,2019-04-28,1
22,69100,3269615,2019-05-02,1
23,69100,3269615,2019-05-06,1
24,69100,3269615,2019-05-09,1
25,69100,3269615,2019-05-11,1
26,69100,3269615,2019-05-18,1
27,69100,3269615,2019-05-27,1
28,69100,3269615,2019-06-03,1
29,69100,3269615,2019-06-12,1
30,69100,3269615,2019-06-14,1
31,69100,3269615,2019-06-27,1
32,69100,3269615,2019-06-28,1
33,69100,3269615,2019-07-01,1
34,69100,3269615,2019-07-02,1
35,69100,3269615,2019-07-07,1
36,69100,3269615,2019-07-09,1
37,69100,3269615,2019-07-10,1
38,69100,3269615,2019-07-17,1
39,69100,3269615,2019-07-21,1
40,69100,3269615,2019-07-27,1
41,69100,3269615,2019-07-28,1
42,69100,3269615,2019-08-02,1
43,69100,3269615,2019-08-09,1
44,69100,3269615,2019-08-14,1
45,69100,3269615,2019-08-21,1
46,69100,3269615,2019-08-30,1
47,69100,3269615,2019-09-09,1
48,69100,3269615,2019-09-10,1
49,69100,3269615,2019-09-19,1
50,69100,3269615,2019-09-25,1
51,69100,3269615,2019-09-26,1
52,69100,3269615,2019-10-04,1
53,69100,3269615,2019-10-09,1
54,69100,3269615,2019-10-12,1
55,69100,3269615,2019-10-26,1
56,69100,3269615,2019-10-28,1
57,69100,3269615,2019-10-31,1
58,69100,3269615,2019-11-02,1
59,69100,3269615,2019-11-04,1
60,69100,3269615,2019-11-09,1
61,69100,3269615,2019-11-29,1
62,69100,3269615,2019-11-30,1
63,69100,3269615,2019-12-01,1
64,69100,3269615,2019-12-11,1
65,69100,3269615,2019-12-13,1
66,69100,3269615,2019-12-14,1
67,69100,3269615,2019-12-22,1
68,69100,3269615,2020-01-08,1
69,69100,3269615,2020-01-11,1
70,69100,3269615,2020-01-12,1
71,69100,3269615,2020-01-16,1
72,69100,3269615,2020-01-19,1
73,69100,3269615,2020-01-20,1
74,69100,3269615,2020-01-21,1
75,69100,3269615,2020-01-22,1
76,69100,3269615,2020-01-23,1
77,69100,3269615,2020-02-01,1
78,69100,3269615,2020-02-03,1
79,69100,3269615,2020-02-05,1
80,69100,3269615,2020-02-20,1
81,69100,3269615,2020-03-07,1
82,69100,3269615,2020-05-21,1
83,69100,3269615,2020-05-22,1
84,69100,3269615,2020-05-23,1
85,69100,3269615,2020-05-27,1
86,69100,3269615,2020-05-30,1
87,69100,3269615,2020-06-04,1
88,69100,3269615,2020-06-07,1
89,69100,3269615,2020-06-10,1
90,69100,3269615,2020-06-12,1
91,69100,3269615,2020-06-19,1
92,69100,3269615,2020-06-26,1
93,69100,3269615,2020-06-28,1
94,69100,3269615,2020-07-06,1
95,69100,3269615,2020-07-07,1
96,69100,3269615,2020-07-10,1
97,69100,3269615,2020-07-11,1
98,69100,3269615,2020-07-15,1
99,69100,3269615,2020-07-16,1
100,69100,3269615,2020-07-17,1
101,69100,3269615,2020-07-20,1
102,69100,3269615,2020-07-24,1
103,69100,3269615,2020-07-26,1
104,69100,3269615,2020-07-27,1
105,69100,3269615,2020-07-28,1
106,69100,3269615,2020-07-31,1
107,69100,3269615,2020-08-01,1
108,69100,3269615,2020-08-14,1
109,69100,3269615,2020-08-15,1
110,69100,3269615,2020-08-26,1
111,69100,3269615,2020-08-31,1
112,69100,3269615,2020-09-02,1
113,69100,3269615,2020-09-05,1
114,69100,3269615,2020-09-06,1
115,69100,3269615,2020-09-15,1
116,83539,3269615,2019-01-06,1
117,83539,3269615,2019-01-08,1
118,83539,3269615,2019-01-11,1
119,83539,3269615,2019-01-16,1
120,83539,3269615,2019-01-23,1
121,83539,3269615,2019-01-30,1
122,83539,3269615,2019-02-01,1
123,83539,3269615,2019-02-02,1
124,83539,3269615,2019-02-03,1
125,83539,3269615,2019-02-05,1
126,83539,3269615,2019-02-10,1
127,83539,3269615,2019-02-12,1
128,83539,3269615,2019-02-19,1
129,83539,3269615,2019-02-20,1
130,83539,3269615,2019-02-23,1
131,83539,3269615,2019-02-24,1
132,83539,3269615,2019-02-25,1
133,83539,3269615,2019-02-28,1
134,83539,3269615,2019-03-02,1
135,83539,3269615,2019-03-29,1
136,83539,3269615,2019-04-01,1
137,83539,3269615,2019-04-05,1
138,83539,3269615,2019-04-06,1
139,83539,3269615,2019-04-09,1
140,83539,3269615,2019-04-10,1
141,83539,3269615,2019-04-11,1
142,83539,3269615,2019-04-16,1
143,83539,3269615,2019-04-24,1
144,83539,3269615,2019-04-27,1
145,83539,3269615,2019-05-08,1
146,83539,3269615,2019-05-09,1
147,83539,3269615,2019-05-21,1
148,83539,3269615,2019-05-25,1
149,83539,3269615,2019-05-26,1
150,83539,3269615,2019-05-29,1
151,83539,3269615,2019-05-31,1
152,83539,3269615,2019-06-13,1
153,83539,3269615,2019-06-15,1
154,83539,3269615,2019-06-16,1
155,83539,3269615,2019-06-22,1
156,83539,3269615,2019-06-24,1
157,83539,3269615,2019-06-25,1
158,83539,3269615,2019-06-26,1
159,83539,3269615,2019-06-30,1
160,83539,3269615,2019-07-02,1
161,83539,3269615,2019-07-03,1
162,83539,3269615,2019-07-13,1
163,83539,3269615,2019-07-16,1
164,83539,3269615,2019-07-22,1
165,83539,3269615,2019-07-27,1
166,83539,3269615,2019-08-04,1
167,83539,3269615,2019-08-06,1
168,83539,3269615,2019-08-08,1
169,83539,3269615,2019-08-09,1
170,83539,3269615,2019-08-10,1
171,83539,3269615,2019-08-26,1
172,83539,3269615,2019-08-27,1
